;fidNames;filename
1;J1-D1-1D-T1;10
2;J1-D2-1D-T6;21
3;J1-D3-1D-T11;32
4;J1-D4-1D-T16;43
5;J2-D1-1D-T2;51
6;J2-D2-1D-T5;60
7;J2-D3-1D-T12;73
8;J2-D4-1D-T15;82
9;J3-D1-1D-T3;92
10;J3-D2-1D-T8;103
11;J3-D3-1D-T9;110
12;J3-D4-1D-T14;121
13;J4-D1-1D-T4;133
14;J4-D2-1D-T7;142
15;J4-D3-1D-T10;151
16;J4-D4-1D-T13;160
17;J5-D1-1D-T1;170
18;J5-D2-1D-T6;181
19;J5-D3-1D-T11;192
20;J5-D4-1D-T16;203
21;J6-D1-1D-T2;211
22;J6-D2-1D-T5;220
23;J6-D3-1D-T12;233
24;J6-D4-1D-T15;242
25;J7-D1-1D-T3;252
26;J7-D2-1D-T8;263
27;J7-D3-1D-T9;270
28;J7-D4-1D-T14;281
29;J8-D1-1D-T4;293
30;J8-D2-1D-T7;302
31;J8-D3-1D-T10;311
32;J8-D4-1D-T13;320